customer_id,order_date,product_id,quantity,price,payment_method,shipping_address,website_source
1,2024-03-05,1,2,834.5,PayPal,Address 92,Paid Ad
1,2024-03-05,1,1,915.03,PayPal,Address 28,Paid Ad
1,2024-03-14,1,2,320.26,PayPal,Address 94,Paid Ad
1,2024-04-03,1,1,356.52,Credit Card,Address 2,Paid Ad
1,2024-04-04,1,1,621,PayPal,Address 99,Organic
1,2024-04-11,1,2,163.69,Apple Pay,Address 86,Paid Ad
1,2024-04-16,1,3,708.92,Apple Pay,Address 18,Paid Ad
1,2024-05-17,1,2,823.92,Apple Pay,Address 28,Organic
1,2024-05-22,1,3,766.62,PayPal,Address 100,Referral
1,2024-06-07,1,1,188.12,Apple Pay,Address 26,Paid Ad
1,2024-06-21,1,2,925.83,Apple Pay,Address 78,Organic
1,2024-07-15,1,2,429.16,PayPal,Address 45,Organic
1,2024-07-16,1,3,85.28,PayPal,Address 1,Paid Ad
1,2024-10-16,1,1,647.1,Credit Card,Address 40,Paid Ad
1,2024-10-19,1,2,757.54,Credit Card,Address 42,Referral
1,2024-11-19,1,2,454.78,Apple Pay,Address 60,Referral
1,2024-11-29,1,2,169.6,Credit Card,Address 6,Paid Ad
1,2024-12-14,1,3,629.66,PayPal,Address 83,Organic
1,2025-01-16,1,1,153.25,PayPal,Address 44,Referral
1,2025-01-23,1,3,620.82,Apple Pay,Address 34,Referral
1,2025-01-25,1,2,288.19,PayPal,Address 32,Organic
1,2024-03-28,2,3,783.72,PayPal,Address 50,Paid Ad
1,2024-04-13,2,3,383.82,Apple Pay,Address 46,Organic
1,2024-04-25,2,2,71.99,PayPal,Address 12,Organic
1,2024-04-26,2,2,749.28,Apple Pay,Address 38,Organic
1,2024-05-06,2,2,840.83,Apple Pay,Address 92,Organic
1,2024-06-02,2,1,866.91,Apple Pay,Address 11,Referral
1,2024-06-15,2,2,820.67,Apple Pay,Address 17,Referral
1,2024-08-29,2,3,490.28,PayPal,Address 48,Organic
1,2024-09-23,2,2,194.12,PayPal,Address 65,Organic
1,2024-11-01,2,1,256.97,PayPal,Address 97,Paid Ad
1,2024-11-13,2,3,166.52,PayPal,Address 92,Paid Ad
1,2024-11-25,2,2,890.97,Credit Card,Address 38,Organic
1,2024-12-08,2,2,656.4,Apple Pay,Address 65,Paid Ad
1,2025-01-02,2,1,652.1,Apple Pay,Address 48,Organic
1,2025-02-04,2,1,909.61,Apple Pay,Address 27,Referral
1,2024-02-27,3,2,700.75,Credit Card,Address 52,Paid Ad
1,2024-03-10,3,3,860.26,Credit Card,Address 45,Paid Ad
1,2024-03-22,3,2,938.15,PayPal,Address 65,Paid Ad
1,2024-03-26,3,2,995.81,PayPal,Address 40,Referral
1,2024-04-07,3,3,148.13,Apple Pay,Address 82,Organic
1,2024-04-10,3,3,621.8,PayPal,Address 97,Referral
1,2024-04-14,3,2,179.15,PayPal,Address 50,Referral
1,2024-04-15,3,2,748.12,PayPal,Address 73,Organic
1,2024-04-20,3,1,901.66,PayPal,Address 90,Paid Ad
1,2024-05-23,3,1,865.63,PayPal,Address 100,Paid Ad
1,2024-06-06,3,1,698.79,PayPal,Address 26,Paid Ad
1,2024-06-16,3,2,582.74,PayPal,Address 26,Organic
1,2024-06-26,3,2,743.49,Credit Card,Address 47,Referral
1,2024-07-18,3,2,816.45,Apple Pay,Address 32,Organic
1,2024-08-12,3,1,673.42,Apple Pay,Address 59,Referral
1,2024-09-12,3,3,678.52,Apple Pay,Address 26,Organic
1,2024-12-03,3,2,763.61,Credit Card,Address 62,Organic
1,2024-12-08,3,1,299.14,PayPal,Address 21,Referral
1,2024-12-11,3,2,970.85,Apple Pay,Address 85,Paid Ad
1,2025-01-17,3,3,481.27,Credit Card,Address 17,Paid Ad
1,2025-02-16,3,1,264.3,Credit Card,Address 60,Paid Ad
1,2025-02-21,3,3,656.27,Credit Card,Address 100,Paid Ad
1,2024-02-23,4,2,695.34,Credit Card,Address 27,Referral
1,2024-02-29,4,3,641.67,PayPal,Address 49,Paid Ad
1,2024-03-06,4,2,419.6,Credit Card,Address 46,Paid Ad
1,2024-03-15,4,3,528.16,Apple Pay,Address 90,Paid Ad
1,2024-03-19,4,3,76.97,Apple Pay,Address 18,Paid Ad
1,2024-03-21,4,2,990.31,Credit Card,Address 70,Paid Ad
1,2024-03-27,4,2,521.02,PayPal,Address 46,Organic
1,2024-04-10,4,3,405.2,Credit Card,Address 30,Paid Ad
1,2024-06-03,4,2,546.44,Apple Pay,Address 59,Paid Ad
1,2024-07-02,4,1,974.3,PayPal,Address 73,Organic
1,2024-07-04,4,3,934.73,Apple Pay,Address 89,Referral
1,2024-07-05,4,1,612.28,Credit Card,Address 47,Paid Ad
1,2024-07-17,4,2,373.53,Credit Card,Address 36,Referral
1,2024-08-28,4,1,62.28,PayPal,Address 10,Referral
1,2024-09-08,4,2,240.65,PayPal,Address 7,Paid Ad
1,2024-09-19,4,2,919.18,PayPal,Address 60,Organic
1,2024-09-20,4,1,728.35,Apple Pay,Address 44,Referral
1,2024-10-16,4,1,149.19,PayPal,Address 39,Referral
1,2024-10-20,4,3,971.24,Apple Pay,Address 55,Referral
1,2024-10-21,4,3,738.78,Credit Card,Address 63,Organic
